Comment,Designator,Footprint,LCSC
22p,C9,C_0402_1005Metric,C1555
1u,"C3,C4,C5,C7",C_0603_1608Metric,C15849
1N5819WS,D3,D_SOD-323,C191023
4u7,"C10,C8",C_0603_1608Metric,C19666
10u,L1,L_Sunlord_SWPA3012S,C206385
1N4148,"D1,D2",D_SOD-323,C2128
560k,R2,R_0603_1608Metric,C23203
51,R1,R_0402_1005Metric,C25125
100k,R5,R_0402_1005Metric,C25741
1M,R4,R_0402_1005Metric,C26083
100n,"C1,C6",C_0402_1005Metric,C307331
SSD1351,J2,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,C506793
1u,"C11,C12",C_0402_1005Metric,C52923
XC6206P332MR,U2,SOT-23,C5446
TPS61040DBV,U1,SOT-23-5,C7722
VIK Module,J3,vik-module-connector-horizontal,C88360
10u,C2,C_0603_1608Metric,C96446
OLED_Breakout,J1,OLED_1.5_SSD1351_128x128,
